accuracy,precision,recall,f1,predicted_up_rate,roc_auc,fold,model_name
0.6470588235294118,0.7,0.7,0.7,0.5882352941176471,0.6857142857142857,1,logistic_regression
0.5882352941176471,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.8235294117647058,0.7638888888888888,2,logistic_regression
0.7058823529411765,0.5833333333333334,1.0,0.7368421052631579,0.7058823529411765,0.6,3,logistic_regression
0.47058823529411764,0.3333333333333333,0.5,0.4,0.5294117647058824,0.5757575757575757,4,logistic_regression
0.35294117647058826,0.2727272727272727,0.5,0.35294117647058826,0.6470588235294118,0.36363636363636365,5,logistic_regression
0.6470588235294118,0.75,0.6,0.6666666666666666,0.47058823529411764,0.5857142857142857,1,random_forest
0.5882352941176471,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.8235294117647058,0.7083333333333333,2,random_forest
0.6470588235294118,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.6470588235294118,0.6,3,random_forest
0.5294117647058824,0.4,0.6666666666666666,0.5,0.5882352941176471,0.4696969696969697,4,random_forest
0.4117647058823529,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.35294117647058826,0.4393939393939394,5,random_forest
0.47058823529411764,0.6666666666666666,0.2,0.3076923076923077,0.17647058823529413,0.6142857142857143,1,extra_trees
0.6470588235294118,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7647058823529411,0.8888888888888888,2,extra_trees
0.6470588235294118,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.6470588235294118,0.5714285714285714,3,extra_trees
0.47058823529411764,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.5,4,extra_trees
0.47058823529411764,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.4393939393939394,5,extra_trees
0.29411764705882354,0.3333333333333333,0.2,0.25,0.35294117647058826,0.4000000000000001,1,gradient_boosting
0.6470588235294118,0.6363636363636364,0.7777777777777778,0.7,0.6470588235294118,0.7083333333333334,2,gradient_boosting
0.5294117647058824,0.4444444444444444,0.5714285714285714,0.5,0.5294117647058824,0.5571428571428572,3,gradient_boosting
0.5882352941176471,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.5294117647058824,0.6818181818181818,4,gradient_boosting
0.47058823529411764,0.2,0.16666666666666666,0.18181818181818182,0.29411764705882354,0.4242424242424242,5,gradient_boosting
0.29411764705882354,0.3333333333333333,0.2,0.25,0.35294117647058826,0.4285714285714286,1,adaboost
0.6470588235294118,0.6363636363636364,0.7777777777777778,0.7,0.6470588235294118,0.7638888888888888,2,adaboost
0.47058823529411764,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.7058823529411765,0.5428571428571429,3,adaboost
0.4117647058823529,0.3,0.5,0.375,0.5882352941176471,0.3560606060606061,4,adaboost
0.5294117647058824,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.5606060606060606,5,adaboost
0.6470588235294118,0.8333333333333334,0.5,0.625,0.35294117647058826,0.8285714285714286,1,knn
0.6470588235294118,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7647058823529411,0.7013888888888888,2,knn
0.47058823529411764,0.375,0.42857142857142855,0.4,0.47058823529411764,0.5642857142857143,3,knn
0.5294117647058824,0.375,0.5,0.42857142857142855,0.47058823529411764,0.6136363636363636,4,knn
0.4117647058823529,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7058823529411765,0.5075757575757576,5,knn
0.4117647058823529,0.0,0.0,0.0,0.0,0.5428571428571428,1,svc_rbf
0.5882352941176471,0.5625,1.0,0.72,0.9411764705882353,0.6388888888888888,2,svc_rbf
0.5882352941176471,0.5,0.7142857142857143,0.5882352941176471,0.5882352941176471,0.5571428571428572,3,svc_rbf
0.47058823529411764,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.5606060606060607,4,svc_rbf
0.4117647058823529,0.3,0.5,0.375,0.5882352941176471,0.3939393939393939,5,svc_rbf
0.7058823529411765,1.0,0.5,0.6666666666666666,0.29411764705882354,0.7571428571428571,1,gaussian_nb
0.7058823529411765,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7058823529411765,0.763888888888889,2,gaussian_nb
0.5882352941176471,0.5,0.8571428571428571,0.631578947368421,0.7058823529411765,0.5928571428571429,3,gaussian_nb
0.47058823529411764,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.4015151515151515,4,gaussian_nb
0.5294117647058824,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7058823529411765,0.4393939393939394,5,gaussian_nb
0.35294117647058826,0.4,0.2,0.26666666666666666,0.29411764705882354,0.42142857142857143,1,lda
0.5882352941176471,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.8235294117647058,0.5555555555555556,2,lda
0.6470588235294118,0.5384615384615384,1.0,0.7,0.7647058823529411,0.5571428571428572,3,lda
0.6470588235294118,0.5,0.8333333333333334,0.625,0.5882352941176471,0.6060606060606061,4,lda
0.4117647058823529,0.3,0.5,0.375,0.5882352941176471,0.3484848484848485,5,lda
