model_name,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,roc_auc_mean,predicted_up_rate_mean
gaussian_nb,0.6,0.1052267283529313,0.5738095238095238,0.6825396825396826,0.5846796478375424,0.17168310630424213,0.5909595959595959,0.5647058823529412
logistic_regression,0.5529411764705883,0.14166581857402702,0.49216450216450214,0.7177777777777777,0.5770870911293579,0.184586128586569,0.5977994227994228,0.6588235294117647
random_forest,0.5647058823529412,0.09843059135695009,0.4867099567099567,0.6358730158730158,0.5391304347826086,0.22208696787080198,0.5606277056277056,0.5764705882352941
lda,0.5294117647058824,0.13795340470068912,0.46197802197802196,0.6844444444444444,0.532463768115942,0.19918881519798995,0.4977344877344878,0.611764705882353
knn,0.5411764705882353,0.1052267283529313,0.5064102564102565,0.5968253968253967,0.5250577200577201,0.1434633284666687,0.6430916305916305,0.5529411764705883
extra_trees,0.5411764705882354,0.0966569219126764,0.4797868797868797,0.5225396825396825,0.4634032634032634,0.21428999641504315,0.6027994227994228,0.48235294117647054
adaboost,0.4705882352941176,0.13153341044116412,0.403939393939394,0.5050793650793651,0.43692982456140356,0.17797897586802516,0.5303968253968254,0.5294117647058825
gradient_boosting,0.5058823529411766,0.13542193450848636,0.41171717171717176,0.4765079365079365,0.433030303030303,0.21355683024170255,0.5543073593073593,0.4705882352941176
svc_rbf,0.49411764705882355,0.08921029934178296,0.3296428571428571,0.5095238095238096,0.39818552036199095,0.27702065551549804,0.5386868686868687,0.5058823529411764
